2.236	163.144	2.004	1.337
2.249	163.144	2.004	1.337
2.236	176.923	2.004	1.337
2.236	163.144	1.909	1.337
2.236	163.144	2.004	1.366
2.236	176.923	1.909	1.366
2.249	163.144	1.909	1.366
2.249	176.923	2.004	1.366
2.249	176.923	1.909	1.337
2.249	176.923	1.909	1.366
2.351	171.644	1.904	1.272
2.364	171.644	1.904	1.272
2.351	168.423	1.904	1.272
2.351	171.644	2.009	1.272
2.351	171.644	1.904	1.301
2.351	168.423	2.009	1.301
2.364	171.644	2.009	1.301
2.364	168.423	1.904	1.301
2.364	168.423	2.009	1.272
2.408	167.394	2.054	1.370
2.307	167.394	2.054	1.370
2.408	164.173	2.054	1.370
2.408	167.394	1.959	1.370
2.408	167.394	2.054	1.268
2.408	164.173	1.959	1.268
2.307	167.394	1.959	1.268
2.307	164.173	2.054	1.268
2.307	164.173	1.959	1.370
2.307	164.173	1.959	1.268
2.293	175.894	1.954	1.304
2.192	175.894	1.954	1.304
2.293	172.673	1.954	1.304
2.293	175.894	2.059	1.304
2.293	175.894	1.954	1.334
2.293	172.673	2.059	1.334
2.192	175.894	2.059	1.334
2.192	172.673	1.954	1.334
2.192	172.673	2.059	1.304
2.192	172.673	2.059	1.334
2.264	169.519	1.929	1.288
2.264	174.798	1.929	1.288
2.264	169.519	1.984	1.288
2.264	169.519	1.929	1.252
2.264	174.798	1.984	1.252
2.221	169.519	1.984	1.252
2.221	174.798	1.929	1.252
2.221	174.798	1.984	1.288
2.221	174.798	1.984	1.252
2.379	178.019	2.029	1.354
2.336	178.019	2.029	1.354
2.379	166.298	2.029	1.354
2.379	178.019	2.084	1.354
2.379	178.019	2.029	1.317
2.379	166.298	2.084	1.317
2.336	178.019	2.084	1.317
2.336	166.298	2.029	1.317
2.393	165.269	1.979	1.255
2.322	162.048	1.979	1.255
2.322	165.269	1.934	1.255
2.322	165.269	1.979	1.350
2.322	162.048	1.934	1.350
2.393	165.269	1.934	1.350
2.393	162.048	1.979	1.350
2.393	162.048	1.934	1.255
2.393	162.048	1.934	1.350
2.207	173.769	2.079	1.321
2.278	173.769	2.079	1.321
2.207	170.548	2.079	1.321
2.207	173.769	2.034	1.321
2.207	173.769	2.079	1.284
2.207	170.548	2.034	1.284
2.278	173.769	2.034	1.284
2.278	170.548	2.079	1.284
2.278	170.548	2.034	1.321
2.278	170.548	2.034	1.284
2.200	164.737	1.910	1.308
2.329	164.737	1.910	1.308
2.200	165.767	1.910	1.308
2.200	164.737	2.090	1.308
2.200	164.737	1.910	1.354
2.200	165.767	2.090	1.354
2.329	164.737	2.090	1.354
